Player,Team,Credits,Total Points
Heinrich Klaasen,SRH,10,824
Abhishek Sharma,SRH,10.5,780
Sai Sudharsan,GT,10,758
Virat Kohli,RCB,11,757
Shubman Gill,GT,10,752
Jos Buttler,GT,10,735
KL Rahul,DC,10,735
Bhuvneshwar Kumar,RCB,9,731
Mitchell Marsh,LSG,10,721
Ishan Kishan,SRH,10.5,712
Sanju Samson,CSK,9.5,712
Ryan Rickelton,MI,9,709
Prabhsimran Singh,PBKS,9,707
Cooper Connolly,PBKS,7.5,700
Vaibhav Sooryavanshi,RR,9,698
Kagiso Rabada,GT,7.5,681
Devdutt Padikkal,RCB,9,657
Shreyas Iyer,PBKS,10.5,646
Anshul Kamboj,CSK,8.5,624
Jamie Overton,CSK,8,609
Dhruv Jurel,RR,9,608
Rajat Patidar,RCB,9,587
Rashid Khan,GT,9.5,583
Nitish Kumar Reddy,SRH,9,583
Tilak Varma,MI,10,582
Priyansh Arya,PBKS,9.5,573
Travis Head,SRH,10,551
Angkrish Raghuvanshi,KKR,9,538
Washington Sundar,GT,8.5,531
Jason Holder,GT,8,529
Cameron Green,KKR,8,529
Jofra Archer,RR,9.5,526
Naman Dhir,MI,9.5,524
Prince Yadav,LSG,7,522
Ravindra Jadeja,RR,10.5,515
Krunal Pandya,RCB,9,515
Kartik Tyagi,KKR,7,504
Yashasvi Jaiswal,RR,10,503
Rinku Singh,KKR,9,501
Eshan Malinga,SRH,8.5,490
Ruturaj Gaikwad,CSK,9,476
Rishabh Pant,LSG,9.5,466
Axar Patel,DC,9.5,465
Donovan Ferreira,RR,7.5,461
Pathum Nissanka,DC,7,445
Tristan Stubbs,DC,9,431
Sunil Narine,KKR,10.5,425
Aiden Markram,LSG,10,423
Mohammed Siraj,GT,9.5,421
Sameer Rizvi,DC,8.5,403
Arshdeep Singh,PBKS,10,402
Ajinkya Rahane,KKR,9,401
Noor Ahmad,CSK,9,400
Rohit Sharma,MI,10,397
Riyan Parag,RR,9,395
Nicholas Pooran,LSG,10.5,393
Prasidh Krishna,GT,9,388
Tim David,RCB,9,384
AM Ghazanfar,MI,7,379
Nitish Rana,DC,8.5,374
Josh Hazlewood,RCB,10,367
Sakib Hussain,SRH,7,364
Kartik Sharma,CSK,7.5,362
Finn Allen,KKR,7,362
Ravi Bishnoi,RR,8.5,359
Anukul Roy,KKR,7.5,355
Mohammad Shami,LSG,8.5,353
Shivam Dube,CSK,10,349
Marcus Stoinis,PBKS,9,349
Phil Salt,RCB,9.5,348
Mohsin Khan,LSG,7.5,348
Hardik Pandya,MI,10.5,330
Vaibhav Arora,KKR,9,330
Suryakumar Yadav,MI,10.5,324
Marco Jansen,PBKS,9.5,317
Ayush Mhatre,CSK,9,311
Romario Shepherd,RCB,8.5,311
Varun Chakaravarthy,KKR,10,308
David Miller,DC,9,305
Rasikh Salam,RCB,7.5,298
Yuzvendra Chahal,PBKS,9.5,297
Shardul Thakur,MI,9,297
Sarfaraz Khan,CSK,7,292
Brijesh Sharma,RR,7,291
Praful Hinge,SRH,7,291
Mukul Choudhary,LSG,7,286
Dewald Brevis,CSK,9,279
Harsh Dubey,SRH,8.5,277
Jitesh Sharma,RCB,9,275
Lungi Ngidi,DC,8,270
Ayush Badoni,LSG,9,266
Shivang Kumar,SRH,7.5,265
Nandre Burger,RR,7,264
Vijaykumar Vyshak,PBKS,8,263
Corbin Bosch,MI,7.5,262
Akeal Hosein,CSK,7.5,253
Xavier Bartlett,PBKS,7,250
Kuldeep Yadav,DC,9.5,244
Rovman Powell,KKR,8,236
Suyash Sharma,RCB,8,231
Ashutosh Sharma,DC,9,229
Quinton de Kock,MI,8,221
Shashank Singh,PBKS,9,220
Salil Arora,SRH,7,218
Shahbaz Ahmed,LSG,8,217
Mukesh Kumar,DC,8.5,216
Sherfane Rutherford,MI,8,210
Urvil Patel,CSK,8,210
Pat Cummins,SRH,9.5,207
Suryansh Shedge,PBKS,7.5,206
Josh Inglis,LSG,8.5,202
Avesh Khan,LSG,8,195
Mitchell Santner,MI,9,194
Digvesh Singh,LSG,9,187
Aniket Verma,SRH,9,185
Will Jacks,MI,9,185
Ramandeep Singh,KKR,7.5,181
Mukesh Choudhary,CSK,7.5,179
Rahul Tewatia,GT,9,175
Arshad Khan,GT,8,174
Manimaran Siddharth,LSG,7.5,174
Shimron Hetmyer,RR,9.5,169
Deepak Chahar,MI,9.5,167
Ashwani Kumar,MI,8.5,167
Glenn Phillips,GT,8,165
Ashok Sharma,GT,7,165
Gurjapneet Singh,CSK,7,164
Jacob Duffy,RCB,7,164
Sandeep Sharma,RR,8,163
T Natarajan,DC,7.5,160
Mitchell Starc,DC,10,155
Tushar Deshpande,RR,8.5,154
Jasprit Bumrah,MI,11,151
Himmat Singh,LSG,7,151
Jacob Bethell,RCB,7.5,149
Jaydev Unadkat,SRH,7,144
Abdul Samad,LSG,8,128
Nehal Wadhera,PBKS,9.5,127
Yash Punja,RR,7,120
Prashant Veer,CSK,8,117
Shubham Dubey,RR,7.5,117
Azmatullah Omarzai,PBKS,9,112
Shahrukh Khan,GT,8.5,112
Blessing Muzarabani,KKR,7.5,110
Raj Bawa,MI,7.5,97
Akash Singh,LSG,8,93
Abhinandan Singh,RCB,7,91
Nishant Sindhu,GT,7.5,86
Trent Boult,MI,10,84
Madhav Tiwari,DC,7.5,82
Manav Suthar,GT,7,82
George Linde,LSG,7.5,78
Vipraj Nigam,DC,9,75
Khaleel Ahmed,CSK,9.5,70
Kyle Jamieson,DC,8,69
Matt Henry,CSK,7.5,68
Tim Seifert,KKR,7.5,67
Venkatesh Iyer,RCB,9,65
Liam Livingstone,SRH,9,57
Yash Thakur,PBKS,7,56
David Payne,SRH,7,54
Matthew Short,CSK,7.5,53
Akshat Raghuwanshi,LSG,7,52
Abishek Porel,DC,8.5,51
Raghu Sharma,MI,7,47
Dilshan Madushanka,SRH,7,45
Ramakrishna Ghosh,CSK,7,37
Spencer Johnson,CSK,7,37
Kumar Kushagra,GT,7,33
Ravichandran Smaran,SRH,7,33
Ben Dwarshuis,PBKS,7.5,31
Auqib Nabi,DC,7.5,30
Sahil Parakh,DC,7,30
Karun Nair,DC,8,29
Dasun Shanaka,RR,8,28
Lockie Ferguson,PBKS,8,25
Arshin Kulkarni,LSG,8,22
Vishnu Vinod,PBKS,7,22
Harshal Patel,SRH,9.5,20
Manish Pandey,KKR,8,20
Krish Bhagat,MI,7,18
Robin Minz,MI,7,15
