Player,Role,Foreign
Pravin Dubey,Bowler,No
Vishal Nishad,Bowler,No
Lockie Ferguson,Bowler,Yes
Rohit Sharma,Batsman,No
Surya Kumar Yadav,Batsman,No
Robin Minz,WK,No
Sherfane Rutherford,Batsman,Yes
Ryan Rickelton,WK,Yes
Quinton de Kock,WK,Yes
Danish Malewar,Batsman,No
N. Tilak Varma,Batsman,No
Hardik Pandya,AR,No
Naman Dhir,AR,No
Mitchell Santner,AR,Yes
Raj Angad Bawa,AR,No
Atharva Ankolekar,AR,No
Mayank Rawat,AR,No
Corbin Bosch,AR,Yes
Will Jacks,AR,Yes
Shardul Thakur,AR,No
Trent Boult,Bowler,Yes
Mayank Markande,Bowler,No
Deepak Chahar,Bowler,No
Ashwani Kumar,Bowler,No
Raghu Sharma,Bowler,No
Mohammad Izhar,Bowler,No
Allah Ghazanfar,Bowler,Yes
Jasprit Bumrah,Bowler,No
Rishabh Pant,WK,No
Aiden Markram,Batsman,Yes
Himmat Singh,Batsman,No
Matthew Breetzke,Batsman,Yes
Mukul Choudhary,WK,No
Akshat Raghuwanshi,Batsman,No
Josh Inglis,WK,Yes
Nicholas Pooran,WK,Yes
Mitchell Marsh,AR,Yes
Abdul Samad,AR,No
Shahbaz Ahamad,AR,No
Arshin Kulkarni,AR,No
Wanindu Hasaranga,AR,Yes
Ayush Badoni,AR,No
Mohammad Shami,Bowler,No
Avesh Khan,Bowler,No
M. Siddharth,Bowler,No
Digvesh Singh,Bowler,No
Akash Singh,Bowler,No
Prince Yadav,Bowler,No
Arjun Tendulkar,Bowler,No
Anrich Nortje,Bowler,Yes
Naman Tiwari,Bowler,No
Mayank Yadav,Bowler,No
Mohsin Khan,Bowler,No
