Player,Team,Credits,Total Points
Yashasvi Jaiswal,RR,10,263
Angkrish Raghuvanshi,KKR,9,234
Sameer Rizvi,DC,8.5,228
Heinrich Klaasen,SRH,10,220
Devdutt Padikkal,RCB,9,215
Ravi Bishnoi,RR,8.5,215
Jos Buttler,GT,10,213
Nitish Kumar Reddy,SRH,9,205
Vaibhav Sooryavanshi,RR,9,200
Dhruv Jurel,RR,9,192
Ajinkya Rahane,KKR,9,192
Rashid Khan,GT,9.5,190
Ishan Kishan,SRH,10.5,182
Shubman Gill,GT,10,179
Rohit Sharma,MI,10,175
Sarfaraz Khan,CSK,7,175
Cooper Connolly,PBKS,7.5,169
Prince Yadav,LSG,7,167
Prasidh Krishna,GT,9,166
Anshul Kamboj,CSK,8.5,165
Sai Sudharsan,GT,10,161
Lungi Ngidi,DC,8,159
Virat Kohli,RCB,11,158
Ryan Rickelton,MI,9,156
Mukesh Kumar,DC,8.5,154
Washington Sundar,GT,8.5,149
Jaydev Unadkat,SRH,7,146
Prabhsimran Singh,PBKS,9,145
Nandre Burger,RR,7,145
KL Rahul,DC,10,144
Rajat Patidar,RCB,9,144
Rishabh Pant,LSG,9.5,143
Jamie Overton,CSK,8,143
Harsh Dubey,SRH,8.5,142
Vijaykumar Vyshak,PBKS,8,141
Jofra Archer,RR,9.5,138
Rinku Singh,KKR,9,136
Jacob Duffy,RCB,7,135
Tim David,RCB,9,134
Finn Allen,KKR,7,133
Shivam Dube,CSK,10,131
Pathum Nissanka,DC,7,130
Shreyas Iyer,PBKS,10.5,120
Kagiso Rabada,GT,7.5,117
T Natarajan,DC,7.5,116
Phil Salt,RCB,9.5,115
Shardul Thakur,MI,9,113
Ayush Mhatre,CSK,9,112
Bhuvneshwar Kumar,RCB,9,110
Blessing Muzarabani,KKR,7.5,110
Kuldeep Yadav,DC,9.5,108
Suryakumar Yadav,MI,10.5,107
Eshan Malinga,SRH,8.5,107
Sandeep Sharma,RR,8,107
Aiden Markram,LSG,10,105
David Miller,DC,9,105
Mohammad Shami,LSG,8.5,104
Xavier Bartlett,PBKS,7,102
Travis Head,SRH,10,101
Cameron Green,KKR,8,101
Yuzvendra Chahal,PBKS,9.5,95
Riyan Parag,RR,9,95
Avesh Khan,LSG,8,95
Tilak Varma,MI,10,94
Tristan Stubbs,DC,9,94
Abhinandan Singh,RCB,7,93
Marco Jansen,PBKS,9.5,91
Abhishek Sharma,SRH,10.5,89
Ravindra Jadeja,RR,10.5,88
Naman Dhir,MI,9.5,88
Aniket Verma,SRH,9,87
Abdul Samad,LSG,8,87
Vaibhav Arora,KKR,9,86
Glenn Phillips,GT,8,86
Axar Patel,DC,9.5,84
Romario Shepherd,RCB,8.5,81
Priyansh Arya,PBKS,9.5,77
Mitchell Marsh,LSG,10,75
Prashant Veer,CSK,8,72
Hardik Pandya,MI,10.5,71
Matt Henry,CSK,7.5,68
Manimaran Siddharth,LSG,7.5,66
Digvesh Singh,LSG,9,64
Kartik Tyagi,KKR,7,64
Shimron Hetmyer,RR,9.5,63
Rovman Powell,KKR,8,63
Sherfane Rutherford,MI,8,63
Suyash Sharma,RCB,8,62
Ashok Sharma,GT,7,62
Ruturaj Gaikwad,CSK,9,60
Tushar Deshpande,RR,8.5,60
Nitish Rana,DC,8.5,59
Anukul Roy,KKR,7.5,59
Mohammed Siraj,GT,9.5,58
AM Ghazanfar,MI,7,58
Mohsin Khan,LSG,7.5,55
David Payne,SRH,7,54
Sunil Narine,KKR,10.5,51
Vipraj Nigam,DC,9,51
