Player,Team,Credits,Total Points
Mitchell Santner,MI,9,51
Rahul Tewatia,GT,9,48
Shivang Kumar,SRH,7.5,48
Krunal Pandya,RCB,9,46
Nehal Wadhera,PBKS,9.5,43
Deepak Chahar,MI,9.5,42
Kartik Sharma,CSK,7.5,41
Brijesh Sharma,RR,7,41
Ramandeep Singh,KKR,7.5,39
Sanju Samson,CSK,9.5,38
Liam Livingstone,SRH,9,36
Corbin Bosch,MI,7.5,36
Jitesh Sharma,RCB,9,34
Kumar Kushagra,GT,7,33
Jasprit Bumrah,MI,11,32
Shashank Singh,PBKS,9,32
Shahrukh Khan,GT,8.5,30
Mukul Choudhary,LSG,7,30
Noor Ahmad,CSK,9,27
Arshdeep Singh,PBKS,10,24
Nicholas Pooran,LSG,10.5,22
Marcus Stoinis,PBKS,9,21
Shahbaz Ahmed,LSG,8,20
Ayush Badoni,LSG,9,19
Salil Arora,SRH,7,17
Khaleel Ahmed,CSK,9.5,16
Mayank Markande,MI,7.5,14
Varun Chakaravarthy,KKR,10,12
Harshal Patel,SRH,9.5,11
Trent Boult,MI,10,9
Donovan Ferreira,RR,7.5,9
Navdeep Saini,KKR,7.5,8
Rahul Chahar,CSK,7,8
Matthew Short,CSK,7.5,6
Anrich Nortje,LSG,7,4
Mitchell Starc,DC,10,0
Josh Hazlewood,RCB,10,0
Sai Kishore,GT,9.5,0
Pat Cummins,SRH,9.5,0
Azmatullah Omarzai,PBKS,9,0
Wanindu Hasaranga,LSG,9,0
Matheesha Pathirana,KKR,9,0
Ashutosh Sharma,DC,9,0
Rachin Ravindra,KKR,9,0
Harshit Rana,KKR,9,0
Will Jacks,MI,9,0
Venkatesh Iyer,RCB,9,0
Dewald Brevis,CSK,9,0
Kamindu Mendis,SRH,8.5,0
Josh Inglis,LSG,8.5,0
Ashwani Kumar,MI,8.5,0
Harpreet Brar,PBKS,8.5,0
Abishek Porel,DC,8.5,0
Sam Curran,RR,8.5,0
MS Dhoni,CSK,8.5,0
Arshin Kulkarni,LSG,8,0
Akash Singh,LSG,8,0
Dushmantha Chameera,DC,8,0
Dasun Shanaka,RR,8,0
Arshad Khan,GT,8,0
Kyle Jamieson,DC,8,0
Vignesh Puthur,RR,8,0
Ishant Sharma,GT,8,0
Lockie Ferguson,PBKS,8,0
Urvil Patel,CSK,8,0
Manish Pandey,KKR,8,0
Karun Nair,DC,8,0
Rahul Tripathi,KKR,8,0
Jason Holder,GT,8,0
Yash Dayal,RCB,8,0
Quinton de Kock,MI,8,0
Raj Bawa,MI,7.5,0
Nishant Sindhu,GT,7.5,0
Madhav Tiwari,DC,7.5,0
Tripurana Vijay,DC,7.5,0
Atharva Ankolekar,MI,7.5,0
Ajay Mandal,DC,7.5,0
Aman Khan,CSK,7.5,0
Zakary Foulkes,CSK,7.5,0
Krains Fuletra,SRH,7.5,0
Satvik Deswal,RCB,7.5,0
Ben Dwarshuis,PBKS,7.5,0
Kanishk Chouhan,RCB,7.5,0
Sarthak Ranjan,KKR,7.5,0
Mayank Rawat,MI,7.5,0
Jack Edwards,SRH,7.5,0
Daksh Kamra,KKR,7.5,0
Suryansh Shedge,PBKS,7.5,0
Vihaan Malhotra,RCB,7.5,0
Yudhvir Singh,RR,7.5,0
Kuldeep Sen,RR,7.5,0
Shreyas Gopal,CSK,7.5,0
Musheer Khan,PBKS,7.5,0
Mitchell Owen,PBKS,7.5,0
Akeal Hosein,CSK,7.5,0
Mukesh Choudhary,CSK,7.5,0
Nuwan Thushara,RCB,7.5,0
Swapnil Singh,RCB,7.5,0
Nathan Ellis,CSK,7.5,0
Shubham Dubey,RR,7.5,0
Akash Deep,KKR,7.5,0
Rasikh Salam,RCB,7.5,0
Umran Malik,KKR,7.5,0
Shivam Mavi,SRH,7.5,0
Auqib Nabi,DC,7.5,0
Mangesh Yadav,RCB,7.5,0
Mayank Yadav,LSG,7.5,0
Prithvi Shaw,DC,7.5,0
Tim Seifert,KKR,7.5,0
Jacob Bethell,RCB,7.5,0
Manav Suthar,GT,7,0
Prithvi Raj Yarra,GT,7,0
Jayant Yadav,GT,7,0
Gurnoor Brar,GT,7,0
Yash Punja,RR,7,0
Luke Wood,GT,7,0
Vishal Nishad,PBKS,7,0
Praveen Dubey,PBKS,7,0
Kulwant Khejroliya,GT,7,0
Sushant Mishra,RR,7,0
Adam Milne,RR,7,0
Naman Tiwari,LSG,7,0
Kwena Maphaka,RR,7,0
Mohammad Izhar,MI,7,0
Spencer Johnson,CSK,7,0
Ramakrishna Ghosh,CSK,7,0
Onkar Tarmale,SRH,7,0
Raghu Sharma,MI,7,0
Saurabh Dubey,KKR,7,0
Amit Kumar,SRH,7,0
Vicky Ostwal,RCB,7,0
Prashant Solanki,KKR,7,0
Praful Hinge,SRH,7,0
Gurjapneet Singh,CSK,7,0
Lhuan-dre Pretorius,RR,7,0
Tom Banton,GT,7,0
Arjun Tendulkar,LSG,7,0
Sahil Parakh,DC,7,0
Aman Perala,RR,7,0
Ravi Singh,RR,7,0
Harnoor Singh,PBKS,7,0
Danish Malewar,MI,7,0
Pyla Avinash,PBKS,7,0
Ben Duckett,DC,7,0
Sakib Hussain,SRH,7,0
Vishnu Vinod,PBKS,7,0
Matthew Breetzke,LSG,7,0
Anuj Rawat,GT,7,0
Robin Minz,MI,7,0
Jordan Cox,RCB,7,0
Tejasvi Singh,KKR,7,0
Himmat Singh,LSG,7,0
Yash Thakur,PBKS,7,0
Brydon Carse,SRH,7,0
Akshat Raghuwanshi,LSG,7,0
Ravichandran Smaran,SRH,7,0
Zeeshan Ansari,SRH,7,0
