Player,Team,Credits,Total Points
Heinrich Klaasen,SRH,10,788
Abhishek Sharma,SRH,10.5,768
KL Rahul,DC,10,735
Shubman Gill,GT,10,734
Vaibhav Sooryavanshi,RR,9,698
Bhuvneshwar Kumar,RCB,9,696
Sanju Samson,CSK,9.5,685
Ishan Kishan,SRH,10.5,678
Jos Buttler,GT,10,677
Sai Sudharsan,GT,10,674
Cooper Connolly,PBKS,7.5,671
Shreyas Iyer,PBKS,10.5,637
Ryan Rickelton,MI,9,635
Anshul Kamboj,CSK,8.5,626
Prabhsimran Singh,PBKS,9,618
Virat Kohli,RCB,11,609
Jamie Overton,CSK,8,609
Dhruv Jurel,RR,9,608
Devdutt Padikkal,RCB,9,595
Kagiso Rabada,GT,7.5,590
Mitchell Marsh,LSG,10,582
Nitish Kumar Reddy,SRH,9,577
Rajat Patidar,RCB,9,570
Rashid Khan,GT,9.5,554
Travis Head,SRH,10,549
Priyansh Arya,PBKS,9.5,535
Jofra Archer,RR,9.5,526
Prince Yadav,LSG,7,524
Ravindra Jadeja,RR,10.5,515
Krunal Pandya,RCB,9,511
Naman Dhir,MI,9.5,509
Yashasvi Jaiswal,RR,10,503
Eshan Malinga,SRH,8.5,490
Cameron Green,KKR,8,486
Tilak Varma,MI,10,471
Axar Patel,DC,9.5,465
Rishabh Pant,LSG,9.5,462
Donovan Ferreira,RR,7.5,461
Ruturaj Gaikwad,CSK,9,457
Washington Sundar,GT,8.5,448
Pathum Nissanka,DC,7,445
Angkrish Raghuvanshi,KKR,9,438
Rinku Singh,KKR,9,433
Tristan Stubbs,DC,9,431
Jason Holder,GT,8,431
Kartik Tyagi,KKR,7,413
Aiden Markram,LSG,10,411
Sameer Rizvi,DC,8.5,403
Sunil Narine,KKR,10.5,396
Riyan Parag,RR,9,395
Noor Ahmad,CSK,9,392
Arshdeep Singh,PBKS,10,390
AM Ghazanfar,MI,7,379
Tim David,RCB,9,378
Nitish Rana,DC,8.5,374
Mohammed Siraj,GT,9.5,366
Rohit Sharma,MI,10,364
Ravi Bishnoi,RR,8.5,359
Anukul Roy,KKR,7.5,357
Ajinkya Rahane,KKR,9,355
Marcus Stoinis,PBKS,9,349
Phil Salt,RCB,9.5,348
Mohsin Khan,LSG,7.5,348
Finn Allen,KKR,7,335
Prasidh Krishna,GT,9,334
Vaibhav Arora,KKR,9,332
Nicholas Pooran,LSG,10.5,330
Hardik Pandya,MI,10.5,330
Josh Hazlewood,RCB,10,330
Mohammad Shami,LSG,8.5,326
Suryakumar Yadav,MI,10.5,324
Ayush Mhatre,CSK,9,311
Romario Shepherd,RCB,8.5,311
Sakib Hussain,SRH,7,310
Varun Chakaravarthy,KKR,10,308
David Miller,DC,9,305
Shivam Dube,CSK,10,296
Marco Jansen,PBKS,9.5,292
Sarfaraz Khan,CSK,7,292
Brijesh Sharma,RR,7,291
Harsh Dubey,SRH,8.5,277
Lungi Ngidi,DC,8,270
Ayush Badoni,LSG,9,266
Nandre Burger,RR,7,264
Vijaykumar Vyshak,PBKS,8,263
Rasikh Salam,RCB,7.5,261
Yuzvendra Chahal,PBKS,9.5,260
Kartik Sharma,CSK,7.5,259
Shivang Kumar,SRH,7.5,257
Mukul Choudhary,LSG,7,257
Jitesh Sharma,RCB,9,254
Akeal Hosein,CSK,7.5,253
Kuldeep Yadav,DC,9.5,244
Dewald Brevis,CSK,9,242
Rovman Powell,KKR,8,232
Suyash Sharma,RCB,8,231
Ashutosh Sharma,DC,9,229
Praful Hinge,SRH,7,222
Xavier Bartlett,PBKS,7,222
Quinton de Kock,MI,8,221
Corbin Bosch,MI,7.5,219
Mukesh Kumar,DC,8.5,216
Shashank Singh,PBKS,9,214
