Player,Team,Credits,Total Points
Vaibhav Sooryavanshi,RR,9,1075
Heinrich Klaasen,SRH,10,1016
Shubman Gill,GT,10,1003
Ishan Kishan,SRH,10.5,996
Sai Sudharsan,GT,10,985
Jos Buttler,GT,10,976
Virat Kohli,RCB,11,952
Abhishek Sharma,SRH,10.5,949
Dhruv Jurel,RR,9,932
KL Rahul,DC,10,903
Jofra Archer,RR,9.5,883
Mitchell Marsh,LSG,10,854
Bhuvneshwar Kumar,RCB,9,845
Kagiso Rabada,GT,7.5,833
Prabhsimran Singh,PBKS,9,831
Devdutt Padikkal,RCB,9,822
Shreyas Iyer,PBKS,10.5,815
Rajat Patidar,RCB,9,807
Cooper Connolly,PBKS,7.5,790
Sanju Samson,CSK,9.5,770
Ryan Rickelton,MI,9,755
Nitish Kumar Reddy,SRH,9,741
Krunal Pandya,RCB,9,714
Cameron Green,KKR,8,705
Anshul Kamboj,CSK,8.5,696
Yashasvi Jaiswal,RR,10,688
Rashid Khan,GT,9.5,686
Angkrish Raghuvanshi,KKR,9,676
Travis Head,SRH,10,651
Axar Patel,DC,9.5,642
Tilak Varma,MI,10,629
Eshan Malinga,SRH,8.5,629
Jamie Overton,CSK,8,609
Ravindra Jadeja,RR,10.5,608
Jason Holder,GT,8,607
Priyansh Arya,PBKS,9.5,585
Donovan Ferreira,RR,7.5,565
Washington Sundar,GT,8.5,561
Rishabh Pant,LSG,9.5,560
Kartik Tyagi,KKR,7,554
Naman Dhir,MI,9.5,553
Finn Allen,KKR,7,552
Sunil Narine,KKR,10.5,551
Ajinkya Rahane,KKR,9,550
Mohammed Siraj,GT,9.5,547
Riyan Parag,RR,9,541
Rinku Singh,KKR,9,536
Ruturaj Gaikwad,CSK,9,532
Prince Yadav,LSG,7,526
Rasikh Salam,RCB,7.5,511
Tim David,RCB,9,474
Sakib Hussain,SRH,7,467
Shivam Dube,CSK,10,465
Corbin Bosch,MI,7.5,461
Tristan Stubbs,DC,9,459
Josh Hazlewood,RCB,10,455
Prasidh Krishna,GT,9,446
Pathum Nissanka,DC,7,445
AM Ghazanfar,MI,7,443
Kartik Sharma,CSK,7.5,439
Suryakumar Yadav,MI,10.5,432
Arshdeep Singh,PBKS,10,427
Noor Ahmad,CSK,9,426
Anukul Roy,KKR,7.5,426
Nicholas Pooran,LSG,10.5,425
Lungi Ngidi,DC,8,425
Aiden Markram,LSG,10,423
Rohit Sharma,MI,10,422
Hardik Pandya,MI,10.5,421
Brijesh Sharma,RR,7,415
Mohammad Shami,LSG,8.5,411
Nandre Burger,RR,7,407
Marcus Stoinis,PBKS,9,405
Sameer Rizvi,DC,8.5,403
Praful Hinge,SRH,7,399
Josh Inglis,LSG,8.5,394
Marco Jansen,PBKS,9.5,387
David Miller,DC,9,384
Yuzvendra Chahal,PBKS,9.5,376
Mohsin Khan,LSG,7.5,375
Nitish Rana,DC,8.5,374
Shardul Thakur,MI,9,366
Ravi Bishnoi,RR,8.5,359
Dewald Brevis,CSK,9,357
Varun Chakaravarthy,KKR,10,353
Mitchell Starc,DC,10,351
Romario Shepherd,RCB,8.5,350
Phil Salt,RCB,9.5,348
Ayush Badoni,LSG,9,348
Rovman Powell,KKR,8,342
Shivang Kumar,SRH,7.5,334
Shashank Singh,PBKS,9,333
Vaibhav Arora,KKR,9,330
Kuldeep Yadav,DC,9.5,327
Jitesh Sharma,RCB,9,321
Ayush Mhatre,CSK,9,311
Sarfaraz Khan,CSK,7,292
Mukul Choudhary,LSG,7,291
Salil Arora,SRH,7,291
Pat Cummins,SRH,9.5,287
Will Jacks,MI,9,287
Ashutosh Sharma,DC,9,286
Akeal Hosein,CSK,7.5,285
Rahul Tewatia,GT,9,283
Deepak Chahar,MI,9.5,278
Venkatesh Iyer,RCB,9,278
Harsh Dubey,SRH,8.5,277
Suyash Sharma,RCB,8,277
Suryansh Shedge,PBKS,7.5,273
Yash Punja,RR,7,273
Mukesh Choudhary,CSK,7.5,272
Vijaykumar Vyshak,PBKS,8,267
Urvil Patel,CSK,8,257
Xavier Bartlett,PBKS,7,250
Jacob Duffy,RCB,7,247
Shahbaz Ahmed,LSG,8,221
Quinton de Kock,MI,8,221
Mukesh Kumar,DC,8.5,214
Sherfane Rutherford,MI,8,210
Abdul Samad,LSG,8,200
Avesh Khan,LSG,8,195
Mitchell Santner,MI,9,194
Jasprit Bumrah,MI,11,190
Digvesh Singh,LSG,9,189
Aniket Verma,SRH,9,185
Ramandeep Singh,KKR,7.5,181
Arshad Khan,GT,8,176
Manimaran Siddharth,LSG,7.5,174
Jacob Bethell,RCB,7.5,174
Shimron Hetmyer,RR,9.5,169
Gurjapneet Singh,CSK,7,168
Ashwani Kumar,MI,8.5,167
Glenn Phillips,GT,8,165
Ashok Sharma,GT,7,165
Azmatullah Omarzai,PBKS,9,164
Sandeep Sharma,RR,8,161
T Natarajan,DC,7.5,160
Abishek Porel,DC,8.5,157
Tushar Deshpande,RR,8.5,154
Saurabh Dubey,KKR,7,154
Himmat Singh,LSG,7,151
Dasun Shanaka,RR,8,150
Jaydev Unadkat,SRH,7,144
Manish Pandey,KKR,8,140
Madhav Tiwari,DC,7.5,140
Shubham Dubey,RR,7.5,139
Prashant Veer,CSK,8,134
Nehal Wadhera,PBKS,9.5,127
Akash Singh,LSG,8,116
Shahrukh Khan,GT,8.5,112
Blessing Muzarabani,KKR,7.5,110
Nishant Sindhu,GT,7.5,105
Matthew Short,CSK,7.5,100
Raj Bawa,MI,7.5,97
Abhinandan Singh,RCB,7,91
Trent Boult,MI,10,84
Harpreet Brar,PBKS,8.5,82
Manav Suthar,GT,7,82
Sahil Parakh,DC,7,79
George Linde,LSG,7.5,78
Ravichandran Smaran,SRH,7,76
Vipraj Nigam,DC,9,75
Spencer Johnson,CSK,7,74
Khaleel Ahmed,CSK,9.5,70
Kyle Jamieson,DC,8,69
Matt Henry,CSK,7.5,68
Tim Seifert,KKR,7.5,67
Liam Livingstone,SRH,9,57
Yash Thakur,PBKS,7,56
Sushant Mishra,RR,7,55
David Payne,SRH,7,54
Akshat Raghuwanshi,LSG,7,52
Raghu Sharma,MI,7,51
Arjun Tendulkar,LSG,7,50
Dilshan Madushanka,SRH,7,45
Ramakrishna Ghosh,CSK,7,37
Kumar Kushagra,GT,7,33
Ben Dwarshuis,PBKS,7.5,31
Auqib Nabi,DC,7.5,30
Tejasvi Singh,KKR,7,30
Karun Nair,DC,8,29
Sai Kishore,GT,9.5,27
Harshal Patel,SRH,9.5,24
Arshin Kulkarni,LSG,8,24
Lockie Ferguson,PBKS,8,23
Vishnu Vinod,PBKS,7,22
Krish Bhagat,MI,7,18
Robin Minz,MI,7,15
Lhuan-dre Pretorius,RR,7,13
Mayank Markande,MI,7.5,12
Ravi Singh,RR,7,9
Danish Malewar,MI,7,8
Rahul Chahar,CSK,7,8
Tripurana Vijay,DC,7.5,6
Mayank Yadav,LSG,7.5,6
Matheesha Pathirana,KKR,9,4
Dushmantha Chameera,DC,8,4
Mayank Rawat,MI,7.5,4
Anrich Nortje,LSG,7,4
Navdeep Saini,KKR,7.5,2
Wanindu Hasaranga,LSG,9,0
Rachin Ravindra,KKR,9,0
Harshit Rana,KKR,9,0
Kamindu Mendis,SRH,8.5,0
Sam Curran,RR,8.5,0
MS Dhoni,CSK,8.5,0
Keshav Maharaj,MI,8,0
Vignesh Puthur,RR,8,0
Ishant Sharma,GT,8,0
Rahul Tripathi,KKR,8,0
Yash Dayal,RCB,8,0
Richard Gleeson,RCB,7.5,0
Gerald Coetzee,SRH,7.5,0
Akash Madhwal,CSK,7.5,0
Ajay Mandal,DC,7.5,0
Atharva Ankolekar,MI,7.5,0
Zakary Foulkes,CSK,7.5,0
Kanishk Chouhan,RCB,7.5,0
Sarthak Ranjan,KKR,7.5,0
Krains Fuletra,SRH,7.5,0
Aman Khan,CSK,7.5,0
Satvik Deswal,RCB,7.5,0
Daksh Kamra,KKR,7.5,0
Jack Edwards,SRH,7.5,0
Vihaan Malhotra,RCB,7.5,0
Yudhvir Singh,RR,7.5,0
Kuldeep Sen,RR,7.5,0
Shreyas Gopal,CSK,7.5,0
Musheer Khan,PBKS,7.5,0
Mitchell Owen,PBKS,7.5,0
Nuwan Thushara,RCB,7.5,0
Nathan Ellis,CSK,7.5,0
Swapnil Singh,RCB,7.5,0
Akash Deep,KKR,7.5,0
Umran Malik,KKR,7.5,0
Shivam Mavi,SRH,7.5,0
Mangesh Yadav,RCB,7.5,0
Prithvi Shaw,DC,7.5,0
Luvnith Sisodia,KKR,7,0
Dian Forrester,CSK,7,0
Macneil Noronha,CSK,7,0
Ruchit Ahir,MI,7,0
Mahipal Lomror,MI,7,0
Emanjot Singh Chahal,RR,7,0
Kuldip Yadav,CSK,7,0
R.S. Ambrish,SRH,7,0
Rehan Ahmed,DC,7,0
Connor Esterhuizen,GT,7,0
Luke Wood,GT,7,0
Gurnoor Brar,GT,7,0
Jayant Yadav,GT,7,0
Vishal Nishad,PBKS,7,0
Kwena Maphaka,RR,7,0
Prithvi Raj Yarra,GT,7,0
Naman Tiwari,LSG,7,0
Praveen Dubey,PBKS,7,0
Adam Milne,RR,7,0
Mohammad Izhar,MI,7,0
Onkar Tarmale,SRH,7,0
Amit Kumar,SRH,7,0
Prashant Solanki,KKR,7,0
Vicky Ostwal,RCB,7,0
Tom Banton,GT,7,0
Harnoor Singh,PBKS,7,0
Ben Duckett,DC,7,0
Aman Perala,RR,7,0
Pyla Avinash,PBKS,7,0
Matthew Breetzke,LSG,7,0
Anuj Rawat,GT,7,0
Brydon Carse,SRH,7,0
Jordan Cox,RCB,7,0
Zeeshan Ansari,SRH,7,0
Kulwant Khejroliya,GT,7,-2
