Player,Team,Credits,Total Points
Shubman Gill,GT,10,989
Sai Sudharsan,GT,10,956
Jos Buttler,GT,10,921
Vaibhav Sooryavanshi,RR,9,907
Heinrich Klaasen,SRH,10,895
Virat Kohli,RCB,11,857
Mitchell Marsh,LSG,10,854
Ishan Kishan,SRH,10.5,817
Abhishek Sharma,SRH,10.5,815
KL Rahul,DC,10,812
Bhuvneshwar Kumar,RCB,9,785
Dhruv Jurel,RR,9,774
Kagiso Rabada,GT,7.5,774
Sanju Samson,CSK,9.5,770
Cooper Connolly,PBKS,7.5,758
Ryan Rickelton,MI,9,736
Devdutt Padikkal,RCB,9,734
Prabhsimran Singh,PBKS,9,713
Cameron Green,KKR,8,701
Anshul Kamboj,CSK,8.5,696
Angkrish Raghuvanshi,KKR,9,676
Rashid Khan,GT,9.5,672
Shreyas Iyer,PBKS,10.5,659
Jofra Archer,RR,9.5,625
Yashasvi Jaiswal,RR,10,609
Jamie Overton,CSK,8,609
Tilak Varma,MI,10,606
Nitish Kumar Reddy,SRH,9,601
Rajat Patidar,RCB,9,587
Priyansh Arya,PBKS,9.5,583
Travis Head,SRH,10,562
Kartik Tyagi,KKR,7,556
Washington Sundar,GT,8.5,548
Jason Holder,GT,8,547
Mohammed Siraj,GT,9.5,543
Eshan Malinga,SRH,8.5,537
Axar Patel,DC,9.5,535
Ruturaj Gaikwad,CSK,9,532
Rishabh Pant,LSG,9.5,527
Naman Dhir,MI,9.5,526
Rinku Singh,KKR,9,526
Prince Yadav,LSG,7,524
Sunil Narine,KKR,10.5,522
Krunal Pandya,RCB,9,519
Ravindra Jadeja,RR,10.5,515
Finn Allen,KKR,7,511
Donovan Ferreira,RR,7.5,506
Riyan Parag,RR,9,477
Shivam Dube,CSK,10,465
Ajinkya Rahane,KKR,9,451
Tristan Stubbs,DC,9,447
Pathum Nissanka,DC,7,445
Kartik Sharma,CSK,7.5,439
Tim David,RCB,9,436
Sakib Hussain,SRH,7,434
Arshdeep Singh,PBKS,10,429
Noor Ahmad,CSK,9,426
Aiden Markram,LSG,10,423
Rohit Sharma,MI,10,420
Nicholas Pooran,LSG,10.5,419
AM Ghazanfar,MI,7,418
Prasidh Krishna,GT,9,408
Josh Hazlewood,RCB,10,404
Sameer Rizvi,DC,8.5,403
Marcus Stoinis,PBKS,9,401
